answer_len	nb_samples	accuracy
1	1601	0.99375390381
2	1164	0.97852233677
3	2147	0.970190964136
4	600	0.826666666667
5	869	0.808975834292
6	1056	0.827651515152
7	840	0.794047619048
8	649	0.728813559322
9	453	0.644591611479
10	350	0.628571428571
11	282	0.553191489362
12	209	0.698564593301
13	209	0.688995215311
14	212	0.542452830189
15	243	0.703703703704
16	405	0.725925925926
17	337	0.718100890208
18	185	0.643243243243
19	117	0.512820512821
20	97	0.577319587629
21	84	0.559523809524
22	53	0.566037735849
23	42	0.404761904762
24	48	0.375
25	36	0.166666666667
26	25	0.16
27	17	0.294117647059
28	18	0.222222222222
29	24	0.0
30	28	0.107142857143
